       vds  ,       ids  ,       gd   ,
   -1.30000 ,   2.829e-05,  -1.671e-20,
   -1.29000 ,   2.820e-05,   2.829e-03,
   -1.28000 ,   2.810e-05,  -9.681e-06,
   -1.27000 ,   2.800e-05,  -9.648e-06,
   -1.26000 ,   2.791e-05,  -9.613e-06,
   -1.25000 ,   2.781e-05,  -9.577e-06,
   -1.24000 ,   2.772e-05,  -9.540e-06,
   -1.23000 ,   2.762e-05,  -9.501e-06,
   -1.22000 ,   2.753e-05,  -9.460e-06,
   -1.21000 ,   2.744e-05,  -9.418e-06,
   -1.20000 ,   2.734e-05,  -9.375e-06,
   -1.19000 ,   2.725e-05,  -9.329e-06,
   -1.18000 ,   2.716e-05,  -9.282e-06,
   -1.17000 ,   2.707e-05,  -9.232e-06,
   -1.16000 ,   2.697e-05,  -9.181e-06,
   -1.15000 ,   2.688e-05,  -9.127e-06,
   -1.14000 ,   2.679e-05,  -9.072e-06,
   -1.13000 ,   2.670e-05,  -9.014e-06,
   -1.12000 ,   2.662e-05,  -8.953e-06,
   -1.11000 ,   2.653e-05,  -8.890e-06,
   -1.10000 ,   2.644e-05,  -8.825e-06,
   -1.09000 ,   2.635e-05,  -8.757e-06,
   -1.08000 ,   2.627e-05,  -8.686e-06,
   -1.07000 ,   2.618e-05,  -8.612e-06,
   -1.06000 ,   2.610e-05,  -8.535e-06,
   -1.05000 ,   2.601e-05,  -8.455e-06,
   -1.04000 ,   2.593e-05,  -8.371e-06,
   -1.03000 ,   2.585e-05,  -8.285e-06,
   -1.02000 ,   2.577e-05,  -8.194e-06,
   -1.01000 ,   2.569e-05,  -8.101e-06,
   -1.00000 ,   2.561e-05,  -8.003e-06,
   -0.99000 ,   2.553e-05,  -7.902e-06,
   -0.98000 ,   2.545e-05,  -7.798e-06,
   -0.97000 ,   2.538e-05,  -7.689e-06,
   -0.96000 ,   2.530e-05,  -7.576e-06,
   -0.95000 ,   2.523e-05,  -7.460e-06,
   -0.94000 ,   2.516e-05,  -7.339e-06,
   -0.93000 ,   2.509e-05,  -7.214e-06,
   -0.92000 ,   2.502e-05,  -7.085e-06,
   -0.91000 ,   2.495e-05,  -6.952e-06,
   -0.90000 ,   2.488e-05,  -6.815e-06,
   -0.89000 ,   2.482e-05,  -6.674e-06,
   -0.88000 ,   2.475e-05,  -6.529e-06,
   -0.87000 ,   2.469e-05,  -6.380e-06,
   -0.86000 ,   2.463e-05,  -6.228e-06,
   -0.85000 ,   2.457e-05,  -6.071e-06,
   -0.84000 ,   2.451e-05,  -5.911e-06,
   -0.83000 ,   2.446e-05,  -5.748e-06,
   -0.82000 ,   2.440e-05,  -5.582e-06,
   -0.81000 ,   2.435e-05,  -5.413e-06,
   -0.80000 ,   2.430e-05,  -5.241e-06,
   -0.79000 ,   2.425e-05,  -5.067e-06,
   -0.78000 ,   2.420e-05,  -4.891e-06,
   -0.77000 ,   2.416e-05,  -4.713e-06,
   -0.76000 ,   2.412e-05,  -4.534e-06,
   -0.75000 ,   2.407e-05,  -4.355e-06,
   -0.74000 ,   2.403e-05,  -4.175e-06,
   -0.73000 ,   2.400e-05,  -3.995e-06,
   -0.72000 ,   2.396e-05,  -3.816e-06,
   -0.71000 ,   2.392e-05,  -3.639e-06,
   -0.70000 ,   2.389e-05,  -3.463e-06,
   -0.69000 ,   2.386e-05,  -3.290e-06,
   -0.68000 ,   2.383e-05,  -3.120e-06,
   -0.67000 ,   2.380e-05,  -2.954e-06,
   -0.66000 ,   2.378e-05,  -2.794e-06,
   -0.65000 ,   2.375e-05,  -2.641e-06,
   -0.64000 ,   2.373e-05,  -2.495e-06,
   -0.63000 ,   2.371e-05,  -2.359e-06,
   -0.62000 ,   2.368e-05,  -2.236e-06,
   -0.61000 ,   2.366e-05,  -2.127e-06,
   -0.60000 ,   2.364e-05,  -2.037e-06,
   -0.59000 ,   2.362e-05,  -1.970e-06,
   -0.58000 ,   2.361e-05,  -1.932e-06,
   -0.57000 ,   2.359e-05,  -1.929e-06,
   -0.56000 ,   2.357e-05,  -1.972e-06,
   -0.55000 ,   2.354e-05,  -2.069e-06,
   -0.54000 ,   2.352e-05,  -2.234e-06,
   -0.53000 ,   2.349e-05,  -2.477e-06,
   -0.52000 ,   2.346e-05,  -2.814e-06,
   -0.51000 ,   2.342e-05,  -3.254e-06,
   -0.50000 ,   2.337e-05,  -3.810e-06,
   -0.49000 ,   2.332e-05,  -4.488e-06,
   -0.48000 ,   2.326e-05,  -5.292e-06,
   -0.47000 ,   2.319e-05,  -6.222e-06,
   -0.46000 ,   2.310e-05,  -7.277e-06,
   -0.45000 ,   2.300e-05,  -8.451e-06,
   -0.44000 ,   2.289e-05,  -9.736e-06,
   -0.43000 ,   2.277e-05,  -1.112e-05,
   -0.42000 ,   2.263e-05,  -1.261e-05,
   -0.41000 ,   2.247e-05,  -1.417e-05,
   -0.40000 ,   2.229e-05,  -1.581e-05,
   -0.39000 ,   2.210e-05,  -1.752e-05,
   -0.38000 ,   2.189e-05,  -1.928e-05,
   -0.37000 ,   2.166e-05,  -2.109e-05,
   -0.36000 ,   2.141e-05,  -2.294e-05,
   -0.35000 ,   2.114e-05,  -2.483e-05,
   -0.34000 ,   2.086e-05,  -2.674e-05,
   -0.33000 ,   2.055e-05,  -2.867e-05,
   -0.32000 ,   2.022e-05,  -3.062e-05,
   -0.31000 ,   1.988e-05,  -3.259e-05,
   -0.30000 ,   1.951e-05,  -3.456e-05,
   -0.29000 ,   1.913e-05,  -3.653e-05,
   -0.28000 ,   1.872e-05,  -3.850e-05,
   -0.27000 ,   1.830e-05,  -4.047e-05,
   -0.26000 ,   1.786e-05,  -4.244e-05,
   -0.25000 ,   1.739e-05,  -4.440e-05,
   -0.24000 ,   1.691e-05,  -4.634e-05,
   -0.23000 ,   1.641e-05,  -4.828e-05,
   -0.22000 ,   1.589e-05,  -5.020e-05,
   -0.21000 ,   1.535e-05,  -5.211e-05,
   -0.20000 ,   1.479e-05,  -5.400e-05,
   -0.19000 ,   1.421e-05,  -5.588e-05,
   -0.18000 ,   1.361e-05,  -5.773e-05,
   -0.17000 ,   1.300e-05,  -5.957e-05,
   -0.16000 ,   1.237e-05,  -6.139e-05,
   -0.15000 ,   1.172e-05,  -6.319e-05,
   -0.14000 ,   1.105e-05,  -6.497e-05,
   -0.13000 ,   1.037e-05,  -6.673e-05,
   -0.12000 ,   9.666e-06,  -6.846e-05,
   -0.11000 ,   8.947e-06,  -7.018e-05,
   -0.10000 ,   8.212e-06,  -7.187e-05,
 -9.0000e-02,   7.460e-06,  -7.353e-05,
 -8.0000e-02,   6.692e-06,  -7.518e-05,
 -7.0000e-02,   5.908e-06,  -7.680e-05,
 -6.0000e-02,   5.108e-06,  -7.839e-05,
 -5.0000e-02,   4.293e-06,  -7.996e-05,
 -4.0000e-02,   3.463e-06,  -8.151e-05,
 -3.0000e-02,   2.618e-06,  -8.302e-05,
 -2.0000e-02,   1.759e-06,  -8.449e-05,
 -1.0000e-02,   8.861e-07,  -8.591e-05,
    0.0     ,  -1.250e-20,  -8.728e-05,
